headline,url
"Trump 2020 Campaign2 hours agoTrump campaign raises $210M in August, still behind Biden's record haulEXCLUSIVE: The Trump campaign and Republican National Committee raked in $210 million in August, an impressive haul that marks their biggest month to date – though still short of the record-smashing amount Democratic nominee Joe Biden and the Democrats brought in during the same time period. ",https://foxnews.com/politics/trump-campaign-august-fundraising
"Donald Trump1 hour agoWoodward book: Trump privately called COVID-19 ‘deadly’ early on, boasted of secret weapons systemPresident Trump told The Washington Post's Bob Woodward back in February that the emerging novel coronavirus was ""deadly"" -- speaking in more dire terms than he was publicly at the time -- according to an account of Woodward's new book which also said Trump boasted of building a secret weapons system. ",https://foxnews.com/politics/woodward-book-trump-covid-weapons
"Coronavirus3 hours agoHealth officials insist coronavirus vaccine will be based on science: 'No shortcuts'National Institutes of Health Director Dr. Francis Collins and Surgeon General Dr. Jerome Adams assured senators on Wednesday that the decisions surrounding the development and potential distribution of a coronavirus vaccine will be made based on science, not politics.",https://foxnews.com/politics/health-officials-insist-coronavirus-vaccine-will-be-based-on-science-no-shortcuts
"Adam Schiff6 mins agoSchiff reveals new whistleblower complaint alleging suppression of Russian election interference intel reportsThe House Intelligence Committee received a whistleblower complaint claiming Trump administration officials at the White House and the Department of Homeland Security suppressed intelligence reports related to Russian election interference, Democratic Committee Chairman Adam Schiff said Wednesday.",https://foxnews.com/politics/schiff-whistleblower-complaint-russian-intel-reports
Fox News Halftime Report11 mins agoTrump says he downplayed coronavirus threatReports from a new book by Washington Post associate editor Bob Woodward.,https://foxnews.com/politics/trump-says-he-downplayed-coronavirus-threat
Texas29 mins agoTexas bishop backs up priest who said Catholic Democrats should 'repent' or 'face the fires of hell'A Wisconsin priest slammed a fellow clergy member who spoke at the Democratic Convention and called on any Catholic Democrats to revoke their support of the party or “face the fires of Hell.” ,https://foxnews.com/politics/texas-bishop-backs-up-priest-who-said-catholic-democrats-should-repent-or-face-the-fires-of-hell
"Christianity6 days agoNick Searcy discusses new documentary 'America, America, God Shed His Grace on Thee'",https://foxnews.com/entertainment/actor-nick-searcy-discusses-herman-cains-last-interview-in-new-documentary-america-america-god-shed-his-grace-on-thee
Fox News Poll6 days agoFox News Poll: Biden tops Trump among likely voters in key states,https://foxnews.com/official-polls/fox-news-poll-biden-tops-trump-among-likely-voters-in-key-states
34 mins agoTexas' Abbott asks candidates to sign pledge against slashing police fundingTexas Gov. Greg Abbott is asking all candidates running for office in his state this November to sign a pledge against cutting funding to police departments.,https://foxnews.com/politics/texas-abbott-candidates-sign-pledge-against-slashing-police-funding
46 mins agoSenators urge Trump administration to make payroll tax deferral optional for federal workersA group of top senators urged the Trump administration to allow federal workers and military members to opt-out of a temporary payroll tax deferral.,https://foxnews.com/politics/senators-urge-trump-administration-to-make-payroll-tax-deferral-optional-for-federal-workers
"1 hour agoWoodward book: Trump privately called COVID-19 ‘deadly’ early on, boasted of secret weapons systemPresident Trump told The Washington Post's Bob Woodward back in February that the emerging novel coronavirus was ""deadly"" -- speaking in more dire terms than he was publicly at the time -- according to an account of Woodward's new book which also said Trump boasted of building a secret weapons system. ",https://foxnews.com/politics/woodward-book-trump-covid-weapons
"1 hour agoMcEnany defends Trump after Woodward book claims he said coronavirus 'deadly,' despite publicly downplaying itWhite House press secretary Kayleigh McEnany defended President Trump on Wednesday after a book by journalist Bob Woodward claimed Trump said he knew the coronavirus was “deadly” but went to great lengths to downplay the virus in public. ",https://foxnews.com/politics/mcenany-trump-woodward-coronavirus
"2 hours agoDHS 'will never abdicate this moral and legal duty' to protect US from rioters: Chad WolfThe Department of Homeland Security will never abdicate its ""moral and legal duty"" to protect American cities from rioters, acting DHS Secretary Chad Wolf said during his 2020 State of the Homeland Address on Wednesday.",https://foxnews.com/politics/dhs-chad-wolf-moral-duty-rioters
"2 hours agoBarr defends DOJ intervention in E. Jean Carroll lawsuit against Trump: 'The law is clear'Attorney General Bill Barr explained why the Justice Department is looking to intervene in the defamation lawsuit brought by writer E. Jean Carroll against President Trump, based on his denial of her allegation that he raped her in the 1990s.",https://foxnews.com/politics/barr-defends-doj-intervention-e-jean-carroll-trump-lawsuit
"2 hours ago2,200 American troops leaving Iraq this month, US general saysThe top U.S. commander in the Middle East announced in Baghdad Wednesday that 2,200 U.S. troops will withdraw from Iraq by the end of this month.",https://foxnews.com/politics/centcom-commander-baghdad-american-troops-leaving-iraq
"2 hours agoTrump campaign raises $210M in August, still behind Biden's record haulEXCLUSIVE: The Trump campaign and Republican National Committee raked in $210 million in August, an impressive haul that marks their biggest month to date – though still short of the record-smashing amount Democratic nominee Joe Biden and the Democrats brought in during the same time period. ",https://foxnews.com/politics/trump-campaign-august-fundraising
"3 hours agoUniversal mail-in ballots 'very problematic,' could overwhelm election officials: Mercedes SchlappMercedes Schlapp, senior adviser for the Trump-Pence campaign, told ""America's Newsroom"" universal mail-in voting is problematic and would cause stress for local officials.",https://foxnews.com/politics/mail-in-voting-ballot-election-2020-democrats-trump-biden-mercedes-schlapp
Media Buzz12 hours agoTrump’s media domination fueled his rise -- and now could backfire,https://foxnews.com/media/trumps-media-domination-fueled-his-rise-and-now-could-backfire
Trump 2020 Campaign2 days agoTrump campaign's Perrine hits anonymous Atlantic sources: 'Journalism was abandoned',https://foxnews.com/politics/erin-perrine-the-atlantic-report-anonymous-sources
"Media Buzz5 days agoTrump’s vote-twice comments outrage media, which amplify his message",https://foxnews.com/media/trumps-vote-twice-comments-outrage-media-which-amplify-his-message
"Trump campaign raises $210M in August, still behind Biden's record haul",https://foxnews.com/politics/trump-campaign-august-fundraising
"Universal mail-in ballots 'very problematic,' could overwhelm election officials: Mercedes Schlapp",https://foxnews.com/politics/mail-in-voting-ballot-election-2020-democrats-trump-biden-mercedes-schlapp
"Sarah Sanders rips Biden's delayed riot response as out of 'convenience,' not conviction",https://foxnews.com/politics/biden-sarah-sanders-election-riots-law-order-campaign
‘Whole entire country would look like Portland’ under future Democratic administration: Kayleigh McEnany,https://foxnews.com/politics/country-would-look-like-portland-under-dems-kayleigh-mcenany
