authors,date,keywords,summary,title
['Harmeet Kaur'],2020-09-04,"['released', 'wont', 'calling', 'boycott', 'liu', 'film', 'yifei', 'mulan', 'prodemocracy', 'kong', 'hong', 'activists', 'support', 'calls']","(CNN) Disney's live-action remake of ""Mulan"" is now released -- but some people won't be watching.
Pro-democracy activists in Hong Kong are reigniting calls to boycott the film, now joined by activists in Thailand and Taiwan.
But because Disney kowtows to Beijing, and because Liu Yifei openly and proudly endorses police brutality in Hong Kong, I urge everyone who believes in human rights to #BoycottMulan,"" prominent Hong Kong activist Joshua Wong tweeted on Friday.
""I support the Hong Kong police.
What a shame for Hong Kong,"" she posted on Weibo in August 2019.",Pro-democracy activists are again calling on people to boycott 'Mulan'
"['Vanesse Chan', 'Bex Wright', 'Ivan Watson', 'Jadyn Sham']",2020-09-06,"['men', 'elections', 'arrested', 'protesters', 'nearly', 'yau', '300', 'postpones', 'kong', 'officers', 'local', 'hong', 'assembly', 'suspected', 'unlawful', 'protests']","(CNN) Nearly 300 protesters were arrested in Hong Kong Sunday, according to the city's police force.
Hong Kong Police said officers had arrested 289 people, with the majority suspected of breaching unlawful assembly laws.
""Among them, 270 were suspected of unlawful assembly, including 169 men and 101 women; 5 men were suspected of misconduct in public places; 5 men were suspected of failing to produce valid identity documents,"" the police force said in a Facebook post.
The remaining people were arrested ""on suspicion of attacking police officers,"" loitering and obstructing police from performing their duties, the statement added.
The protesters were arrested in the Hong Kong neighborhoods of Yau Mai Tei and Mong Kok.",Nearly 300 arrested in Hong Kong protests after government postpones local elections
"['Helen Regan', 'Junko Ogura', 'Jake Kwon']",2020-09-06,"['storm', 'mph', 'southwestern', 'region', 'peninsula', 'winds', 'evacuated', 'japan', 'powerful', 'haishen', 'korean', 'thousands', 'typhoon', 'north', 'path', 'barrels']","(CNN) Hundreds of thousands of people have been evacuated out of the path of a powerful typhoon that's expected to make landfall in southwestern Japan on Sunday.
It's the second powerful storm to hit the region in a week.
Typhoon Maysak -- the equivalent to a Category 4 hurricane with winds of at least 130 mph -- followed a similar path to Haishen.
Haishen hit the Ryukyu Islands off Japan's southwestern coast on Sunday, bringing strong winds and heavy rain to the region and knocking out power to thousands of homes.
The storm is then expected to continue on its path north and impact the Korean Peninsula in the next 36 hours.",Typhoon Haishen: Thousands evacuated as powerful storm barrels toward Japan and the Korean Peninsula
['Nectar Gan'],2020-09-05,"['mongolia', 'ethnic', 'sparked', 'language', 'mongolian', 'policy', 'mongolians', 'mandarin', 'chinese', 'inner', 'chinas', 'schools', 'rare', 'backlash']","A staff member at the Inner Mongolia regional government wouldn't comment when reached by phone by CNN on Thursday.
On Thursday, China's foreign ministry dismissed reports of the protests in Inner Mongolia as ""political speculation with ulterior motives.""
Trucks driving through a coal mine in Huolin Gol, Inner Mongolia on November 15, 2010.broke out in the region.
Students in traditional clothing travel on a special train to attend university entrance exam in Inner Mongolia, China in June, 2019.
And now, some ethnic Mongolians worry that Inner Mongolia will be the next in line for the so-called ""second generation of ethnic policy.""",How China's new language policy sparked rare backlash in Inner Mongolia
"['Brad Lendon', 'Emiko Jozuka', 'Junko Ogura']",2020-09-05,"['finding', 'sailors', 'guard', 'missing', 'ship', 'search', 'crew', 'japan', 'coast', 'suspended', 'powerful', 'area', 'weather', 'typhoon', 'suspends', 'went']","(CNN) The search for the crew of a cargo ship that went missing during Typhoon Maysak was suspended Saturday due to bad weather, according to Japan's Coast Guard.
The Gulf Livestock 1 , with 43 crew members and almost 6,000 cows onboard, went missing near southern Japan on Wednesday.
The area in the East China Sea was being battered by the powerful typhoon, equivalent to a Category 4 hurricane with winds of at least 130 mph, at the time the ship went missing.
Three sailors have been rescued, and one of them has died, according to the Coast Guard.
Rescue operations were suspended Saturday noon local time, and a second storm -- powerful Typhoon Haishun -- is expected to slam the area on Sunday.",Japan Coast Guard suspends search for crew of missing cargo ship after finding three sailors
"['Brad Lendon', 'Emiko Jozuka']",2020-09-03,"['sailors', 'gulf', 'guard', 'island', 'man', 'japans', 'statement', 'miles', 'missing', 'ship', 'search', 'livestock', 'japan', 'coast', 'sailor', 'taken', 'kilometers', 'finds', 'oshima']","(CNN) A third man has been found floating in a life raft in the waters off Japan after a cargo ship with 43 people and almost 6,000 cows aboard went missing during Typhoon Maysak, according to the Japan Coast Guard.
The man, a 30-year-old Filipino named Jay-Nel Rosals was found on Friday afternoon two kilometers (1.2 miles) from Kodakara Island, the Coast Guard said.
He was in good condition, the Coast Guard said.
A second crew member was found floating unconscious on Friday morning near Japan's Amami Oshima island, about midway between Okinawa and Kyushu, Japan's southernmost main island.
He was taken to hospital, according to a Coast Guard statement sent to CNN, but a later statement from the Coast Guard said that he had died.","Gulf livestock 1: Japan Coast Guard finds third sailor as search for missing ship with 43 sailors and 5,800 cows aboard continues"
"['Manveena Suri', 'Vedika Sud']",2020-09-04,"['smoke', 'lankan', 'blaze', 'firefighters', 'video', 'dead', 'board', 'cnn', 'working', 'tanker', 'sri', 'aboard', 'vessel', 'oil', 'battle', 'navy', 'lanka']","New Delhi (CNN) Firefighting crews from Sri Lanka and India are working to put out a large blaze aboard an oil tanker that has been burning since Thursday, off the coast of the south Asian island nation.
One Filipino crew member died after a boiler in the main engine room exploded, causing the fire, the Sri Lankan Navy said.
Photos and video showed thick black smoke pouring from one end of the Panamanian-flagged tanker, MT New Diamond, 38 nautical miles (70 kilometers) off Sangamankanda Point in southern Sri Lanka.
This photo released by Sri Lankan Air Force shows smoke rising after the fire broke out on board the New Diamond.
Speaking to CNN, Sri Lankan Navy Captain Indika Desilva said that as of Friday morning local time, the fire was ""still on.""",One dead as firefighters battle blaze aboard oil tanker off Sri Lanka
['James Griffiths'],2020-09-03,"['freedom', 'students', 'security', 'unclear', 'kongs', 'legally', 'classroom', 'school', 'academic', 'kong', 'law', 'hong', 'schools', 'university', 'begins', 'protests']","But with coronavirus halting the opportunity for public assembly, Beijing imposed a new national security law on the city in June, before the unrest could resume.
Protesters react after police fired tear gas at the Chinese University of Hong Kong (CUHK) campus on November 12, 2019.
Following the incident, the heads of 10 universities in Hong Kong published a joint statement condemning ""abuses"" of free speech and calling Hong Kong independence ""unconstitutional.""
Independent thoughtLong before it was officially criminalized by the new security law, independence advocacy has been a contentious issue on campuses.
Protesters sit next to a Goddess of Democracy statue at the CUHK campus in Hong Kong on November 12, 2019.","As Hong Kong's academic year begins under security law, it's unclear what can legally be said in a classroom"
"['Kocha Olarn', 'Helen Regan', 'Joshua Berlinger']",2020-09-03,"['king', 'royal', 'military', 'thai', 'sineenat', 'consort', 'thailand', 'vajiralongkorn', 'monarchy', 'power', 'political', 'reinstates', 'untainted', 'declaring']","""It is regarded as if she was not stripped of her royal status, her royal military position and military rank and all her royal decorations were never recalled before,"" the latest announcement read.
Due to Thailand's stringent lese majeste law, CNN has limits in reporting the full context surrounding the Thai monarchy and its palace intrigue.
Sineenat is the first royal consort in nearly a century.
After being named royal consort in July 2019, she held the post for only three months before being stripped of her titles.
Expressing any dissatisfaction with the Thai royal family has long been considered verboten, radical and even dangerous -- and not just because of the lese majeste laws.",Thai King reinstates his royal consort after declaring her 'untainted'
['Jessie Yeung'],,"['threebody', 'scifi', 'cixin', 'liu', 'netflix', 'problem', 'thrones', 'chinese', 'producers', 'science', 'adapt', 'game', 'series', 'fiction', 'trilogy', 'won']","Jessie Yeung , CNN Written byThe Chinese science fiction trilogy ""The Three-Body Problem"" has won awards around the world and been heralded by fans including Barack Obama and sci-fi giant George R. R. Martin.
Now, the creators of HBO's ""Game of Thrones"" are bringing the series to Netflix in an English-language adaptation.
""I have the greatest respect for and faith in the creative team adapting The Three-Body Problem for television audiences,"" said Liu Cixin in the Netflix statement.
The first work in the trilogy, ""The Three-Body Problem,"" was serialized in 2006 then published as a book in 2008.
It won the Galaxy Award, China's most prestigious science fiction prize, in 2006.",Game of Thrones producers to adapt Chinese sci-fi 'The Three-Body Problem' for Netflix
